ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C636,85.905,-71.17,214,7.3,4.7,5,4.7,0.61,0.77,0.43,5.5,0.47,2800,1060,44,1.05
C637,85.905,-69.497,250.2,8.8,5,179,7.2,0.47,0.55,0.3,8.3,0.56,2200,740,75,1.31
C638,85.974,-71.132,222.2,10,7.7,136,14.2,0.25,1.78,0.27,66.8,0.35,46700,610,176,2.66
C639,85.978,-71.124,218.8,13,4.8,85,7.5,0.85,0.3,1.41,16.4,1.52,700,2900,24,1.65
C640,85.986,-69.267,243.7,10.7,10.3,174,17.9,0.15,1.34,0.13,37.1,0.09,33400,280,387,2.04
C641,86.004,-69.352,234,10.4,9.1,15,16.4,0.79,0.75,0.95,22.5,2.22,9700,1980,25,1.93
C642,86.005,-69.377,234.3,14.1,6.1,170,14,0.41,2.63,0.28,170.7,0.49,100800,670,159,2.91
C643,86.05,-69.312,251.3,9.5,4.1,19,,,1.28,0.24,11.2,0.24,0,0,109,1.75
C644,86.091,-71.454,223.7,27,4.9,117,13,0.3,1.53,0.29,31.3,0.32,31700,610,130,1.45
C645,86.092,-69.808,229.6,5.7,4.5,50,,,0.92,0.44,5.1,0.4,0,0,66,1.16
C646,86.095,-71.427,217.3,12.4,5,87,8.8,0.37,0.5,0.58,8.6,0.38,2300,1140,57,1.12
C647,86.098,-71.044,219.8,7.6,6.1,127,9.3,0.25,1.68,0.17,26.7,0.13,27400,390,267,1.84
C648,86.099,-69.438,229.8,13.4,5.3,4,10.9,0.9,2.18,0.82,102.9,1.94,53700,1470,18,5.79
C649,86.125,-71.478,219.1,12.5,8.9,167,18,0.13,2.05,0.11,76.3,0.13,79100,270,558,2.02
C650,86.14,-69.427,228.3,27,10.6,45,30.6,0.85,1.78,1.06,422.2,1.23,100600,2340,74,5.77
C651,86.142,-69.745,236.6,12.7,7.8,147,16.5,0.25,1.43,0.41,17.8,0.36,34900,800,197,1.35
C652,86.225,-69.357,227.9,16.2,11.2,171,24,0.07,2.36,0.08,269.7,0.05,139700,190,1287,3.42
C653,86.232,-69.853,241,9.5,2.1,178,,,1.64,0.88,6.8,0.96,0,0,36,0.9
C654,86.236,-69.427,224.4,13.9,6.5,89,14.9,0.82,,,9.7,1.44,0,0,11,2.18
C655,86.279,-69.849,235.4,12.8,5.2,161,10.1,0.68,0.84,0.7,1.7,0.77,7400,1600,27,0.89
C656,86.318,-69.808,228.8,9.3,4.4,7,,,0.19,2.48,87.8,0.97,0,0,60,2.54
C657,86.339,-67.125,285.7,12.9,7.9,95,16.8,0.17,0.87,0.2,30.2,0.13,13300,440,266,1.95
C658,86.37,-69.835,226.5,11.3,9.7,88,18,0.18,1.56,0.17,104.3,0.19,45300,400,304,2.92
C659,86.41,-69.345,226.2,15.3,6.7,88,16.2,0.2,1.15,0.24,24.7,0.22,22300,610,206,1.93
C660,86.435,-67.154,284.5,9.3,4.6,178,3.1,0.39,1.25,0.27,12.1,0.5,5100,610,120,1.35
